source_file,source_url,target_url,anchor,score,cluster
public\blog\cocon-semantique-seo-ia-2026\index.html,https://seo-true.com/blog/cocon-semantique-seo-ia-2026,https://seo-true.com/blog/maillage-interne-entites-seo-ia,Maillage interne et entites : construire un site lisible par Gemini,29.43,2
public\blog\referencement-gemini-ai-mode-seo-2026\index.html,https://seo-true.com/blog/referencement-gemini-ai-mode-seo-2026,https://seo-true.com/blog/audit-seo-ia-technique-2026,Audit SEO IA 2026 : la methode technique pour etre cite par Gemini,27.37,1
public\blog\checklist-seo-llm-google-gemini-2026\index.html,https://seo-true.com/blog/checklist-seo-llm-google-gemini-2026,https://seo-true.com/blog/referencement-gemini-ai-mode-seo-2026,Référencement Gemini et AI Mode : méthode SEO 2026,23.42,1
public\blog\referencement-gemini-ai-mode-seo-2026\index.html,https://seo-true.com/blog/referencement-gemini-ai-mode-seo-2026,https://seo-true.com/blog/checklist-seo-llm-google-gemini-2026,Checklist SEO LLM Google Gemini 2026,23.42,1
public\blog\audit-seo-ia-technique-2026\index.html,https://seo-true.com/blog/audit-seo-ia-technique-2026,https://seo-true.com/blog/referencement-gemini-ai-mode-seo-2026,Référencement Gemini et AI Mode : méthode SEO 2026,22.87,1
public\blog\cocon-semantique-seo-ia-2026\index.html,https://seo-true.com/blog/cocon-semantique-seo-ia-2026,https://seo-true.com/blog/cannibalisation-mots-cles-seo-ia,Cannibalisation SEO IA : detecter les pages qui se concurrencent,21.53,2
public\blog\article-seo-ia-citable-google-2026\index.html,https://seo-true.com/blog/article-seo-ia-citable-google-2026,https://seo-true.com/blog/schema-article-organization-seo-ia,Schema Article et Organization : structurer un contenu SEO pour l'IA,21.34,3
public\blog\article-seo-ia-citable-google-2026\index.html,https://seo-true.com/blog/article-seo-ia-citable-google-2026,https://seo-true.com/blog/contenu-utile-eeat-ia-google-2026,"Contenu utile, E-E-A-T et IA : ce que Google attend en 2026",21.28,3
public\blog\schema-article-organization-seo-ia\index.html,https://seo-true.com/blog/schema-article-organization-seo-ia,https://seo-true.com/blog/contenu-utile-eeat-ia-google-2026,"Contenu utile, E-E-A-T et IA : ce que Google attend en 2026",21.18,3
public\blog\contenu-utile-eeat-ia-google-2026\index.html,https://seo-true.com/blog/contenu-utile-eeat-ia-google-2026,https://seo-true.com/blog/article-seo-ia-citable-google-2026,Article SEO IA citable par Google : structure 2026,18.28,3
public\blog\cannibalisation-mots-cles-seo-ia\index.html,https://seo-true.com/blog/cannibalisation-mots-cles-seo-ia,https://seo-true.com/blog/maillage-interne-entites-seo-ia,Maillage interne et entites : construire un site lisible par Gemini,18.26,2
public\blog\maillage-interne-entites-seo-ia\index.html,https://seo-true.com/blog/maillage-interne-entites-seo-ia,https://seo-true.com/blog/cannibalisation-mots-cles-seo-ia,Cannibalisation SEO IA : detecter les pages qui se concurrencent,18.26,2
